time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Event
24:38.,14,0.7,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.02981567,-0.02101135,-1.101685,15.92165,7.46402,-32.8656,287.9297,297.2615,10,0.01124573,0.1683485,-0.3402726,-2.817918,-0.006331012,0.02720381,0.06248436,0.1078014,-0.1568447,-0.01114269,0.006280653,-0.07947633,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,15,0.75,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1131897,-0.05683899,-1.283356,16.27075,7.881439,-32.39297,288.9984,298.3303,10,-0.1762941,0.1395616,-0.1007468,-2.838727,0.004970067,0.02575479,-0.1107166,0.2094363,-0.3383708,-0.01313185,0.001185294,-0.1868216,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,16,0.8,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.04151917,-0.006011963,-1.261642,16.20093,8.437988,-32.59549,290.4212,299.7531,10,-0.2192807,0.1851893,0.01843706,-2.837001,0.01024755,0.01981572,-0.164936,0.09161407,0.1561094,0.1821985,-0.02303225,-0.2692613,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,17,0.85,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.03689575,0.05200195,-1.24321,16.37549,8.681458,-32.15665,290.5533,299.8852,10,0.06043618,0.7593202,0.01627618,-2.836295,0.0255285,0.0128692,-0.009303548,0.5469767,0.02068057,-0.02447075,-0.005853692,-0.2647519,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,18,0.9,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.146347,0.01759338,-1.143066,17.45772,8.577118,-31.78531,290.9792,300.311,10,0.612792,-0.163962,0.6750013,-2.829346,0.06847005,0.03389799,0.567596,0.1254841,0.479105,-0.04609942,0.06190664,-0.1641864,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,19,0.95,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.1192322,0.02102661,-0.9341583,17.91158,7.707581,-31.8866,290.6176,299.9495,10,0.399994,0.1873654,0.8317055,-2.796613,0.0606235,0.06685644,0.6333055,-0.05693823,0.9334846,0.2052197,0.08719239,-0.02553611,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,20,1,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,-0.02719116,-0.05726624,-1.002029,18.53995,5.898865,-31.68399,287.8997,297.2315,10,0.4156097,0.4815815,0.6890836,-2.762635,0.06851516,0.08992315,0.4938543,0.5293113,0.6568365,-0.04587661,0.08429359,0.08664045,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,21,1.05,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.01469421,-0.05418396,-0.821991,18.67957,4.368408,-31.34637,286.0444,295.3763,10,-0.3170832,-0.04703808,0.6183157,-2.716676,0.07285502,0.1069829,-0.1322682,-0.2090054,0.9453384,0.1705913,0.07835181,0.06705414,128.237.254.209,0.0.0.0,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:38.,22,1.1,40.4438,-79.94635,273.2583,-1,-1,10,65,1511130274,0.03311157,0.04496765,-0.7812347,18.88901,3.811859,-31.8866,283.3736,292.7054,10,-0.650283,-0.4852407,0.2558044,-2.685464,0.06077825,0.09244306,-0.4613858,-0.531306,0.2910875,-0.1033282,0.0881458,0.1433362,128.237.254.209,0.0.0.0,5,3
